region_code,weather_param,year,key,value
Max temp,Max temp,1940,FEB,4.6,
Max temp,Max temp,1940,MAR,8.5,
Max temp,Max temp,1940,APR,11.1,
Max temp,Max temp,1940,MAY,16.3,
Max temp,Max temp,1940,JUN,20.6,
Max temp,Max temp,1940,JUL,17.7,
Max temp,Max temp,1940,AUG,18.6,
Max temp,Max temp,1940,SEP,15.8,
Max temp,Max temp,1940,OCT,12.0,
Max temp,Max temp,1940,NOV,8.8,
Max temp,Max temp,1940,DEC,6.0,
Max temp,Max temp,1940,WIN,3.94,
Max temp,Max temp,1940,SPR,2.00,
Max temp,Max temp,1940,SUM,8.94,
Max temp,Max temp,1940,AUT,2.21,
Max temp,Max temp,1940,ANN,1.85,
Max temp,Max temp,1941,JAN,2.2,
Max temp,Max temp,1941,FEB,5.3,
Max temp,Max temp,1941,MAR,7.5,
Max temp,Max temp,1941,APR,9.0,
Max temp,Max temp,1941,MAY,12.7,
Max temp,Max temp,1941,JUN,18.2,
Max temp,Max temp,1941,JUL,20.1,
Max temp,Max temp,1941,AUG,17.3,
Max temp,Max temp,1941,SEP,17.5,
Max temp,Max temp,1941,OCT,12.9,
Max temp,Max temp,1941,NOV,8.7,
Max temp,Max temp,1941,DEC,7.6,
Max temp,Max temp,1941,WIN,4.46,
Max temp,Max temp,1941,SPR,9.75,
Max temp,Max temp,1941,SUM,8.55,
Max temp,Max temp,1941,AUT,3.02,
Max temp,Max temp,1941,ANN,1.62,
Max temp,Max temp,1942,JAN,3.6,
Max temp,Max temp,1942,FEB,3.0,
Max temp,Max temp,1942,MAR,7.5,
Max temp,Max temp,1942,APR,12.5,
Max temp,Max temp,1942,MAY,14.5,
Max temp,Max temp,1942,JUN,17.6,
Max temp,Max temp,1942,JUL,18.2,
Max temp,Max temp,1942,AUG,18.7,
Max temp,Max temp,1942,SEP,16.1,
Max temp,Max temp,1942,OCT,12.6,
Max temp,Max temp,1942,NOV,7.9,
Max temp,Max temp,1942,DEC,8.4,
Max temp,Max temp,1942,WIN,4.81,
Max temp,Max temp,1942,SPR,1.48,
Max temp,Max temp,1942,SUM,8.17,
Max temp,Max temp,1942,AUT,2.21,
Max temp,Max temp,1942,ANN,1.77,
Max temp,Max temp,1943,JAN,6.5,
Max temp,Max temp,1943,FEB,8.3,
Max temp,Max temp,1943,MAR,9.9,
Max temp,Max temp,1943,APR,13.3,
Max temp,Max temp,1943,MAY,15.2,
Max temp,Max temp,1943,JUN,17.3,
Max temp,Max temp,1943,JUL,19.4,
Max temp,Max temp,1943,AUG,18.0,
Max temp,Max temp,1943,SEP,15.8,
Max temp,Max temp,1943,OCT,13.3,
Max temp,Max temp,1943,NOV,8.4,
Max temp,Max temp,1943,DEC,6.0,
Max temp,Max temp,1943,WIN,7.70,
Max temp,Max temp,1943,SPR,2.78,
Max temp,Max temp,1943,SUM,8.22,
Max temp,Max temp,1943,AUT,2.52,
Max temp,Max temp,1943,ANN,2.63,
Max temp,Max temp,1944,JAN,7.9,
Max temp,Max temp,1944,FEB,5.8,
Max temp,Max temp,1944,MAR,8.4,
Max temp,Max temp,1944,APR,12.9,
Max temp,Max temp,1944,MAY,14.5,
Max temp,Max temp,1944,JUN,16.3,
Max temp,Max temp,1944,JUL,18.6,
Max temp,Max temp,1944,AUG,20.0,
Max temp,Max temp,1944,SEP,15.2,
Max temp,Max temp,1944,OCT,11.4,
Max temp,Max temp,1944,NOV,8.0,
Max temp,Max temp,1944,DEC,5.9,
Max temp,Max temp,1944,WIN,6.58,
Max temp,Max temp,1944,SPR,1.94,
Max temp,Max temp,1944,SUM,8.30,
Max temp,Max temp,1944,AUT,1.56,
Max temp,Max temp,1944,ANN,2.10,
Max temp,Max temp,1945,JAN,2.7,
Max temp,Max temp,1945,FEB,8.9,
Max temp,Max temp,1945,MAR,11.0,
Max temp,Max temp,1945,APR,13.1,
Max temp,Max temp,1945,MAY,15.1,
Max temp,Max temp,1945,JUN,17.2,
Max temp,Max temp,1945,JUL,19.4,
Max temp,Max temp,1945,AUG,18.9,
Max temp,Max temp,1945,SEP,16.8,
Max temp,Max temp,1945,OCT,14.4,
Max temp,Max temp,1945,NOV,9.4,
Max temp,Max temp,1945,DEC,7.2,
Max temp,Max temp,1945,WIN,5.72,
Max temp,Max temp,1945,SPR,3.08,
Max temp,Max temp,1945,SUM,8.48,
Max temp,Max temp,1945,AUT,3.51,
Max temp,Max temp,1945,ANN,2.85,
Max temp,Max temp,1946,JAN,5.4,
Max temp,Max temp,1946,FEB,7.5,
Max temp,Max temp,1946,MAR,8.3,
Max temp,Max temp,1946,APR,13.2,
Max temp,Max temp,1946,MAY,14.2,
Max temp,Max temp,1946,JUN,15.9,
Max temp,Max temp,1946,JUL,18.7,
Max temp,Max temp,1946,AUG,17.2,
Max temp,Max temp,1946,SEP,16.0,
Max temp,Max temp,1946,OCT,11.8,
Max temp,Max temp,1946,NOV,9.6,
Max temp,Max temp,1946,DEC,5.5,
Max temp,Max temp,1946,WIN,6.66,
Max temp,Max temp,1946,SPR,1.88,
